,TLT,TLT,TLT,TLT,TLT,BND,BND,BND,BND,BND,TIP,TIP,TIP,TIP,TIP,PHB,PHB,PHB,PHB,PHB,BWX,BWX,BWX,BWX,BWX,VCSH,VCSH,VCSH,VCSH,VCSH
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-08,126.52110271998338,126.68275890413973,126.10269165039064,126.10269165039062,6490000,77.29846429687801,77.33577136062318,77.18655022123734,77.2052001953125,1761500.0,104.1768917768256,104.21316589893124,103.98645782470702,103.98645782470703,639700,17.010721355459133,17.010721355459133,16.992788314819336,16.992788314819336,222200.0,27.820286448942827,27.849385982564765,27.771784142616585,27.781484603881836,153700.0,75.45789926993028,75.47666923275912,75.37345591313056,75.40160369873047,1031500.0
2019-07-09,126.16916046426205,126.1977016626076,125.67468819317942,126.0550537109375,6215700,77.21455183995268,77.21455183995268,77.09330918320559,77.10263061523438,1839400.0,104.07715824350912,104.18598062924566,103.93206864777632,104.09529876708984,436400,16.992787336527485,17.001753001155226,16.98381996154785,16.98381996154785,110200.0,27.75238674730809,27.781486282688483,27.703884438050903,27.713584899902344,112500.0,75.41096873120664,75.42034655149695,75.36405099518934,75.3734359741211,952800.0
2019-07-10,125.85541072038653,125.94099081518227,125.05661963890125,125.36092376708984,9470000,77.19589387120203,77.23320094568598,77.11195829031078,77.16791534423828,2097200.0,104.28571973575582,104.36733132593413,104.14969350021023,104.27664947509766,1635700,17.019685796533995,17.037620544433594,17.010718422584194,17.037620544433594,879600.0,27.800885840403126,27.82028676315274,27.723283999578488,27.79118537902832,176700.0,75.45785991950852,75.51416261999044,75.42971214858736,75.48600769042969,769100.0
2019-07-11,124.86642852031801,124.96152718156547,123.39248633109341,123.68728637695312,14126800,77.13993487400796,77.19589192652582,76.8787924747957,76.91609954833984,3024100.0,104.35825872413886,104.37639232526446,103.9411167124387,103.95018005371094,884700,17.01968873095503,17.028656106450924,16.992788314819336,16.992788314819336,255300.0,27.791187144402407,27.888189914138547,27.64568391488517,27.665084838867188,612600.0,75.49540617708897,75.51417613348842,75.42972564697266,75.42972564697266,1090200.0
2019-07-12,123.54465166212152,124.04864269885502,123.31642355661161,123.8299331665039,6992000,76.91609105535491,77.00935517111878,76.88811253218533,76.98137664794922,2265000.0,103.88668983398361,104.20408662423172,103.88668983398361,104.13153839111328,809100,17.010723114013672,17.01969049043661,16.992790071519973,17.010723114013672,79900.0,27.71358646364084,27.810589237454675,27.65538553942215,27.762088775634766,128200.0,75.44849864624634,75.49540922185513,75.42972868908987,75.47664642333984,1185900.0
2019-07-15,124.04865719469562,124.61922027013414,124.04865719469562,124.54314422607422,6055500,76.9720501080328,77.09329986572264,76.9720501080328,77.09329986572266,2245900.0,104.1406276297282,104.43988397682769,104.1406276297282,104.39454650878906,2156000,17.010724090347537,17.02865884422278,17.010724090347537,17.019691467285156,103000.0,27.771784456278702,27.88818814260257,27.771784456278702,27.79118537902832,244600.0,75.46725556854035,75.5329360961914,75.46725556854035,75.5329360961914,825900.0
2019-07-16,123.78236466172127,124.19127147368368,123.58267779659134,124.17224884033203,6172700,76.96273701113716,77.01870118576531,76.90677995210658,76.99072265625,2294100.0,104.19504039864626,104.27665199079347,104.1496960128432,104.22224426269531,1411400,17.028656106450924,17.028656106450924,16.992788314819336,16.992788314819336,141500.0,27.723288206996436,27.820290985292292,27.684488205782557,27.74268913269043,88500.0,75.45787342293094,75.46725840113068,75.39219289281463,75.42972564697266,1053800.0
2019-07-17,124.628698023607,125.54159584957941,124.6191939613641,125.51306915283203,9662200,77.10264242100452,77.23321364537014,77.07466388944019,77.22389221191406,2062300.0,104.33104967380122,104.48520949073499,104.33104967380122,104.43986511230469,505800,17.001753979963237,17.001753979963237,16.98382093932344,16.992788314819336,244900.0,27.810590522445295,27.829991448139285,27.74268913269043,27.74268913269043,255500.0,75.49541482976024,75.57048034667969,75.46726705057587,75.57048034667969,1884800.0
2019-07-18,125.01861477554881,125.8269100872214,124.79990520686965,125.5226058959961,5724900,77.19588364671135,77.39174754070945,77.15858369276461,77.36376190185547,3323200.0,104.41268311322371,104.67566534230147,104.24945300271277,104.65753173828125,599800,16.992786357202025,17.001752021313056,16.96588423381354,16.974851608276367,106700.0,27.878485201786688,28.033688869632545,27.810583828375833,28.0142879486084,124300.0,75.54232972555214,75.69245359510157,75.53294474662984,75.67369079589844,1559700.0
2019-07-19,125.13270741481966,125.4560196988487,125.05663137563268,125.2278060913086,5804800,77.27050238577719,77.33578798246441,77.23319531401359,77.27983093261719,2167300.0,104.49430084228516,104.67566455545301,104.49430084228516,104.49430084228516,1135200,16.983818932390765,16.99278630682701,16.95691680908203,16.95691680908203,188800.0,27.897889463997107,27.95609038386631,27.791186235758662,27.878488540649414,168900.0,75.6267568747775,75.63614185169128,75.56107635366087,75.60799407958984,1713800.0
2019-07-22,125.96954440733637,125.98856704691427,125.27537041798016,125.4655532836914,5204100,77.42904749465617,77.43837604094084,77.33578337859744,77.36376190185547,1725500.0,104.61217384995746,104.66658157357895,104.52149200439455,104.52149200439453,939700,16.97941626692675,16.997411163436034,16.97941626692675,16.988412857055664,64200.0,27.888187722365117,27.94638863956313,27.87848726113648,27.89788818359375,169600.0,75.64552940796887,75.66429220379628,75.63614443073507,75.6549072265625,862800.0
2019-07-23,125.14221078621965,125.27534021111911,124.54312111916254,124.78085327148438,8108900,77.326470444175,77.36377040222008,77.24252774958174,77.2984848022461,1799600.0,104.49430084228516,104.58498269886908,104.40361206711904,104.49430084228516,377200,17.006401630628773,17.024398235093884,16.997403328396217,17.015399932861328,130400.0,27.849396164803046,27.849396164803046,27.771794296482234,27.80089569091797,90800.0,75.63614443073507,75.6549072265625,75.6173744762675,75.6549072265625,1175400.0
